nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000001	Fred Astaire	1899	1987	soundtrack,actor,miscellaneous	tt0050419,tt0053137,tt0031983,tt0072308
nm0000002	Lauren Bacall	1924	2014	actress,soundtrack	tt0117057,tt0071877,tt0037382,tt0038355
nm0000003	Brigitte Bardot	1934	\N	actress,soundtrack,music_department	tt0057345,tt0049189,tt0054452,tt0059956
nm0000004	John Belushi	1949	1982	actor,soundtrack,writer	tt0078723,tt0077975,tt0080455,tt0072562
nm0000005	Ingmar Bergman	1918	2007	writer,director,actor	tt0060827,tt0050986,tt0050976,tt0083922
nm0000006	Ingrid Bergman	1915	1982	actress,soundtrack,producer	tt0036855,tt0038109,tt0034583,tt0038787
nm0000007	Humphrey Bogart	1899	1957	actor,soundtrack,producer	tt0037382,tt0043265,tt0040897,tt0034583
nm0000008	Marlon Brando	1924	2004	actor,soundtrack,director	tt0070849,tt0047296,tt0078788,tt0068646
nm0000009	Richard Burton	1925	1984	actor,soundtrack,producer	tt0061184,tt0059749,tt0087803,tt0057877
nm0000010	James Cagney	1899	1986	actor,soundtrack,director	tt0035575,tt0029870,tt0031867,tt0042041
nm0000011	Gary Cooper	1901	1961	actor,soundtrack,producer	tt0027996,tt0034167,tt0035896,tt0044706
nm0000012	Bette Davis	1908	1989	actress,soundtrack,make_up_department	tt0042192,tt0035140,tt0056687,tt0031210
nm0000013	Doris Day	1922	2019	soundtrack,actress,producer	tt0048317,tt0055100,tt0060463,tt0053172
nm0000014	Olivia de Havilland	1916	2020	actress,soundtrack	tt0031381,tt0041452,tt0029843,tt0040806
nm0000015	James Dean	1931	1955	actor,miscellaneous	tt0048028,tt0043228,tt0049261,tt0048545
nm0000016	Georges Delerue	1925	1992	composer,soundtrack,music_department	tt0091763,tt0096320,tt0057345,tt0069946
nm0000017	Marlene Dietrich	1901	1992	soundtrack,actress,music_department	tt0052311,tt0051201,tt0021156,tt0055031
nm0000018	Kirk Douglas	1916	2020	actor,producer,soundtrack	tt0054331,tt0046672,tt0043338,tt0049456
nm0000019	Federico Fellini	1920	1993	writer,director,assistant_director	tt0056801,tt0050783,tt0071129,tt0053779
nm0000020	Henry Fonda	1905	1982	actor,producer,soundtrack	tt0050083,tt0032551,tt0064116,tt0082846
