tconst	averageRating	numVotes
tt0000001	5.6	1647
tt0000002	6.1	198
tt0000003	6.5	1345
tt0000004	6.2	120
tt0000005	6.2	2132
tt0000006	5.3	115
tt0000007	5.5	654
tt0000008	5.4	1811
tt0000009	5.9	155
tt0000010	6.9	6026
tt0000011	5.2	264
tt0000012	7.4	10311
tt0000013	5.7	1573
tt0000014	7.1	4611
tt0000015	6.1	817
tt0000016	5.9	1204
tt0000017	4.6	241
tt0000018	5.3	479
tt0000019	5.3	20
tt0000020	5.0	267
tt0000022	5.1	891
tt0000023	5.7	1144
tt0000024	4.5	52
tt0000025	4.2	29
tt0000026	5.7	1313
tt0000027	5.6	927
tt0000028	5.2	860
tt0000029	6.0	2854
tt0000030	5.2	687
tt0000031	5.5	838
tt0000032	5.1	338
tt0000033	5.6	858
tt0000034	5.3	133
tt0000035	5.6	59
tt0000036	4.4	491
tt0000037	4.7	43
tt0000038	4.1	150
tt0000039	3.7	15
tt0000040	4.3	40
tt0000041	6.6	1427
tt0000042	4.8	24
tt0000043	4.0	15
tt0000044	4.7	30
tt0000045	4.9	19
tt0000046	4.6	19
tt0000047	4.0	18
tt0000048	4.8	129
tt0000049	5.4	25
tt0000050	4.5	16
tt0000051	4.2	17
tt0000052	4.5	62
tt0000053	2.8	9
tt0000054	5.4	21
tt0000055	4.1	18
tt0000056	3.5	12
tt0000057	4.7	17
tt0000058	4.6	16
tt0000059	4.0	16
tt0000060	7.6	62
tt0000061	4.1	14
tt0000062	6.5	159
tt0000063	3.9	15
tt0000064	3.6	15
tt0000065	3.9	15
tt0000066	3.9	15
tt0000067	5.9	43
tt0000068	4.1	14
tt0000069	4.8	352
tt0000070	6.4	2269
tt0000071	4.0	17
tt0000072	4.5	16
tt0000073	4.0	14
tt0000074	4.5	17
tt0000075	6.3	1564
tt0000076	4.5	430
tt0000077	5.1	20
tt0000078	4.2	49
tt0000079	4.6	19
tt0000080	4.3	15
tt0000081	4.4	16
tt0000082	4.8	25
tt0000083	5.0	20
tt0000084	4.7	17
tt0000085	5.1	18
tt0000086	4.4	16
tt0000087	5.0	20
tt0000088	5.1	17
tt0000089	6.2	833
tt0000090	4.4	16
tt0000091	6.7	2787
tt0000092	4.9	14
tt0000093	4.9	66
tt0000094	4.6	15
tt0000095	5.0	22
tt0000096	4.6	13
tt0000097	5.3	19
tt0000098	5.7	21
tt0000099	4.9	16
tt0000100	5.2	34
tt0000101	5.1	14
tt0000102	5.0	15
tt0000103	6.1	17
tt0000104	5.5	387
tt0000105	5.7	15
tt0000106	5.2	13
tt0000107	5.8	15
tt0000108	4.4	442
tt0000109	4.5	436
tt0000110	4.4	439
tt0000111	4.5	448
tt0000112	4.5	437
tt0000113	4.4	451
tt0000114	5.8	16
tt0000115	5.2	19
tt0000116	5.8	16
tt0000117	5.1	120
tt0000118	5.9	17
tt0000119	5.8	30
tt0000120	5.7	30
tt0000121	4.5	50
tt0000122	5.8	16
tt0000123	5.8	74
tt0000124	5.9	17
tt0000125	5.0	8
tt0000126	6.0	18
tt0000127	4.9	15
tt0000128	6.1	26
tt0000129	6.8	37
tt0000130	5.8	17
tt0000131	5.8	1082
tt0000132	5.1	871
tt0000133	6.5	24
tt0000134	4.6	8
tt0000135	6.7	52
tt0000137	4.8	12
tt0000138	6.5	857
tt0000139	5.4	16
tt0000140	5.0	223
tt0000141	5.3	61
tt0000142	5.0	11
tt0000143	4.9	198
tt0000144	5.2	223
tt0000145	3.9	7
tt0000146	5.1	14
tt0000147	5.2	357
tt0000148	3.6	7
tt0000149	5.1	12
tt0000150	5.2	112
tt0000151	5.4	32
tt0000152	6.1	180
tt0000153	5.7	331
tt0000154	4.6	8
tt0000155	5.3	15
tt0000156	4.6	13
tt0000157	4.1	8
tt0000158	3.5	8
tt0000159	5.3	70
tt0000160	5.2	9
tt0000161	3.9	8
tt0000162	5.3	396
tt0000163	4.5	6
tt0000164	5.0	228
tt0000165	5.1	90
tt0000166	4.1	7
tt0000167	4.1	102
tt0000168	3.4	7
tt0000169	4.1	17
tt0000170	5.2	184
tt0000171	5.0	5
tt0000172	6.1	670
tt0000173	4.6	17
tt0000174	4.7	106
tt0000175	5.0	165
tt0000176	5.8	5
tt0000177	4.6	188
tt0000178	5.4	98
tt0000179	4.6	24
tt0000181	6.7	36
tt0000182	4.9	469
tt0000183	6.2	18
tt0000184	4.8	260
tt0000186	4.3	12
tt0000187	5.3	34
tt0000188	5.0	5
tt0000190	5.0	115
tt0000192	4.4	134
tt0000194	5.4	65
tt0000196	5.3	19
tt0000197	4.7	10
tt0000198	4.8	9
tt0000199	5.0	5
tt0000204	5.7	6
tt0000205	5.3	19
tt0000206	4.8	6
